id,date,excercise_list,workout_fun_factor,duration,cal_burnt,mood,activeness
62,2020-08-09,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,3,92,,1,0
63,2020-09-21,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,4,61,,2,2
64,2020-02-12,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,4,69,,0,1
65,2020-02-26,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,2,59,,0,1
66,2020-04-25,bicep_curl pull_up lat_pulldown dumbbell_row push_press,5,105,,2,2
67,2020-11-26,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,32,,1,0
68,2020-12-05,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,0,75,,2,0
69,2020-07-17,deadlift superman lat_pulldown pull_up ,4,99,,1,2
70,2020-04-25,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,5,49,,2,2
71,2020-05-26,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,0,112,,1,1
72,2020-05-11,deadlift superman lat_pulldown pull_up ,3,81,,2,0
73,2020-08-04,dumbbell_fly ,2,49,,0,2
74,2020-09-06,dumbbell_row farmers_walk battle_ropes push_press,4,90,,1,0
75,2020-05-11,crunches plank russian_twist side_plank bird_dog burpee,5,43,,1,1
76,2020-02-10,deadlift superman lat_pulldown pull_up ,4,69,,2,2
77,2020-12-06,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,68,,1,0
78,2020-12-25,dumbbell_row farmers_walk battle_ropes push_press,0,94,,0,1
79,2020-09-13,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,4,93,,2,0
80,2020-12-23,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,2,88,,0,0
81,2020-08-23,yoga,5,37,,0,1
82,2020-06-08,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,3,58,,2,2
83,2020-02-24,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,1,81,,2,1
84,2020-11-13,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,5,119,,1,1
85,2020-08-17,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,5,62,,0,0
86,2020-10-14,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,66,,0,2
87,2020-08-01,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,1,52,,0,1
88,2020-02-22,deadlift superman lat_pulldown pull_up ,1,75,,1,2
89,2020-10-03,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,4,108,,2,1
90,2020-08-28,deadlift superman lat_pulldown pull_up ,2,115,,0,0
91,2020-11-07,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,3,111,,0,0
92,2020-01-23,dumbbell_row farmers_walk battle_ropes push_press,4,61,,2,1
93,2020-07-03,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,2,99,,1,1
94,2020-12-13,pull_up lat_pulldown push_up dumbbell_row push_press,0,120,,2,0
95,2020-07-13,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,2,85,,1,0
96,2020-07-26,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,5,56,,2,2
97,2020-07-18,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,1,45,,1,2
98,2020-12-20,pull_up lat_pulldown push_up dumbbell_row push_press,3,53,,0,0
99,2020-12-25,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,1,109,,2,0
100,2020-09-29,dumbbell_fly ,5,94,,1,2
101,2020-06-01,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,36,,1,1
102,2020-06-11,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,0,57,,2,2
103,2020-10-27,pull_up lat_pulldown push_up dumbbell_row push_press,0,101,,2,0
104,2020-12-30,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,3,39,,0,1
105,2020-10-06,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,5,63,,0,0
106,2020-11-26,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,4,70,,1,1
107,2020-11-05,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,2,68,,0,2
108,2020-06-10,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,53,,0,1
109,2020-08-03,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,1,71,,2,2
110,2020-10-09,deadlift superman lat_pulldown pull_up ,3,65,,2,0
111,2020-05-12,dumbbell_fly ,1,53,,0,2
112,2020-01-22,dumbbell_fly ,0,102,,1,0
113,2020-12-12,yoga,4,109,,1,1
114,2020-09-07,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,5,120,,0,2
115,2020-12-06,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,65,,1,0
116,2020-10-27,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,5,77,,1,1
117,2020-06-19,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,114,,0,0
118,2020-06-28,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,4,119,,0,1
119,2020-04-13,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,2,40,,2,2
120,2020-02-11,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,62,,0,2
121,2020-11-08,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,3,92,,1,1
122,2020-12-12,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,1,38,,2,0
123,2020-07-26,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,2,32,,2,2
124,2020-10-01,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,77,,2,0
125,2020-06-03,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,5,58,,1,1
126,2020-08-31,deadlift superman lat_pulldown pull_up ,1,73,,0,0
127,2020-03-31,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,2,102,,2,1
128,2020-01-07,dumbbell_fly ,0,66,,1,0
129,2020-04-28,crunches plank russian_twist side_plank bird_dog burpee,3,112,,1,0
130,2020-11-20,deadlift superman lat_pulldown pull_up ,1,106,,1,0
131,2020-02-09,dumbbell_fly ,0,119,,2,0
132,2020-02-08,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,95,,1,2
133,2020-05-16,deadlift superman lat_pulldown pull_up ,1,110,,2,0
134,2020-06-14,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,0,45,,2,2
135,2020-05-18,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,94,,2,0
136,2020-03-30,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,0,89,,0,1
137,2020-12-10,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,0,43,,1,2
138,2020-04-09,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,93,,0,2
139,2020-04-11,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,4,31,,2,1
140,2020-05-31,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,2,111,,0,0
141,2020-02-10,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,1,118,,1,2
142,2020-10-28,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,2,74,,0,1
143,2020-03-04,deadlift superman lat_pulldown pull_up ,1,69,,2,2
144,2020-04-12,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,3,60,,2,0
145,2020-10-18,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,0,106,,0,1
146,2020-01-17,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,83,,2,0
147,2020-01-01,yoga,3,31,,2,1
148,2020-05-02,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,5,83,,2,1
149,2020-04-17,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,92,,0,2
150,2020-02-08,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,3,100,,1,2
151,2020-10-06,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,62,,1,2
152,2020-11-28,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,0,110,,2,2
153,2020-07-20,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,0,111,,0,0
154,2020-02-26,deadlift superman lat_pulldown pull_up ,0,103,,0,0
155,2020-06-25,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,4,73,,0,2
156,2020-10-13,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,0,71,,2,1
157,2020-09-28,yoga,1,44,,1,0
158,2020-04-25,pull_up lat_pulldown push_up dumbbell_row push_press,3,56,,2,2
159,2020-09-19,dumbbell_fly ,5,119,,2,0
160,2020-10-05,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,1,101,,2,1
161,2020-11-17,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,50,,0,2
162,2020-06-30,crunches plank russian_twist side_plank bird_dog burpee,1,52,,0,0
163,2020-04-05,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,5,113,,2,2
164,2020-09-02,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,4,54,,2,1
165,2020-05-09,dumbbell_fly ,3,50,,1,1
166,2020-10-01,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,108,,2,0
167,2020-07-28,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,2,99,,0,0
168,2020-12-06,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,106,,1,0
169,2020-05-22,deadlift superman lat_pulldown pull_up ,3,30,,0,0
170,2020-11-11,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,43,,0,2
171,2020-03-01,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,1,104,,1,0
172,2020-02-06,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,4,84,,2,2
173,2020-10-31,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,3,98,,1,0
174,2020-04-14,pull_up lat_pulldown push_up dumbbell_row push_press,4,31,,0,1
175,2020-01-02,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,4,110,,1,1
176,2020-05-24,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,0,87,,1,1
177,2020-01-04,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,0,38,,2,1
178,2020-11-13,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,0,49,,0,0
179,2020-05-24,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,66,,0,0
180,2020-08-16,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,1,58,,1,1
181,2020-06-30,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,94,,2,1
182,2020-11-30,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,5,74,,1,0
183,2020-07-27,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,3,79,,0,2
184,2020-12-18,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,2,105,,2,2
185,2020-12-12,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,96,,0,0
186,2020-11-06,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,108,,1,2
187,2020-10-24,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,3,63,,2,2
188,2020-04-11,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,4,104,,1,1
189,2020-11-11,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,5,33,,2,0
190,2020-03-15,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,3,45,,1,1
191,2020-04-14,bicep_curl pull_up lat_pulldown dumbbell_row push_press,1,93,,1,0
192,2020-02-13,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,45,,2,2
193,2020-05-08,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,2,71,,1,0
194,2020-09-09,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,85,,1,1
195,2020-06-26,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,2,51,,2,2
196,2020-02-15,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,2,104,,1,2
197,2020-05-14,crunches plank russian_twist side_plank bird_dog burpee,3,49,,2,1
198,2020-08-14,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4,113,,1,2
199,2020-05-03,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,4,45,,2,1
200,2020-03-17,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,3,74,,0,0
201,2020-03-22,crunches plank russian_twist side_plank bird_dog burpee,1,56,,2,1
202,2020-12-06,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,0,35,,1,2
203,2020-01-24,yoga,4,67,,2,1
204,2020-03-26,deadlift superman lat_pulldown pull_up ,5,118,,0,1
205,2020-08-17,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,4,61,,0,2
206,2020-04-04,dumbbell_fly ,1,46,,2,2
207,2020-04-28,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,0,68,,2,0
208,2020-04-22,dumbbell_row farmers_walk battle_ropes push_press,3,61,,2,0
209,2020-01-22,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,2,42,,2,2
210,2020-12-06,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,0,100,,1,2
211,2020-05-16,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,69,,0,2
212,2020-05-07,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,0,79,,1,1
213,2020-03-02,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,117,,0,2
214,2020-02-11,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,59,,1,0
215,2020-10-14,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,111,,2,2
216,2020-10-11,dumbbell_fly ,3,97,,2,2
217,2020-09-15,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,2,42,,2,2
218,2020-04-26,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,5,115,,2,0
219,2020-01-03,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,1,51,,2,1
220,2020-11-10,dumbbell_row farmers_walk battle_ropes push_press,1,50,,0,1
221,2020-04-24,dumbbell_row farmers_walk battle_ropes push_press,2,30,,2,0
222,2020-09-17,dumbbell_row farmers_walk battle_ropes push_press,4,61,,0,2
223,2020-11-10,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,98,,0,0
224,2020-12-27,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,3,119,,0,1
225,2020-12-22,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,1,95,,0,1
226,2020-06-21,pull_up lat_pulldown push_up dumbbell_row push_press,4,115,,2,1
227,2020-08-28,deadlift superman lat_pulldown pull_up ,3,41,,1,1
228,2020-07-17,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,0,40,,1,1
229,2020-10-11,yoga,1,116,,0,1
230,2020-01-23,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,2,55,,1,2
231,2020-10-11,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,34,,1,2
232,2020-08-12,deadlift superman lat_pulldown pull_up ,1,40,,2,0
233,2020-04-30,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,80,,2,0
234,2020-05-18,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,67,,0,2
235,2020-01-19,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,5,72,,2,0
236,2020-02-01,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,2,103,,0,2
237,2020-06-27,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,2,109,,2,0
238,2020-06-22,pull_up lat_pulldown push_up dumbbell_row push_press,3,105,,1,1
239,2020-01-21,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,80,,1,1
240,2020-04-01,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,3,58,,2,0
241,2020-04-01,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,61,,2,2
242,2020-04-05,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,5,78,,2,1
243,2020-08-14,crunches plank russian_twist side_plank bird_dog burpee,1,118,,2,1
244,2020-08-17,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,3,107,,1,0
245,2020-06-06,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,44,,1,2
246,2020-01-26,pull_up lat_pulldown push_up dumbbell_row push_press,5,105,,0,2
247,2020-02-10,yoga,1,33,,1,1
248,2020-09-09,crunches plank russian_twist side_plank bird_dog burpee,4,82,,0,2
249,2020-09-13,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,3,51,,2,0
250,2020-07-22,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,5,82,,2,0
251,2020-02-06,dumbbell_row farmers_walk battle_ropes push_press,2,40,,2,1
252,2020-02-15,dumbbell_row farmers_walk battle_ropes push_press,0,38,,1,2
253,2020-10-09,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,5,108,,2,0
254,2020-12-12,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,2,107,,0,0
255,2020-05-19,deadlift superman lat_pulldown pull_up ,3,97,,0,2
256,2020-11-23,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,2,58,,2,1
257,2020-04-17,dumbbell_row farmers_walk battle_ropes push_press,1,81,,0,0
258,2020-08-28,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,114,,0,0
259,2020-08-24,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,67,,1,2
260,2020-01-26,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,5,90,,2,2
261,2020-06-06,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,3,87,,2,1
262,2020-09-03,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,62,,1,2
263,2020-12-23,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,2,81,,0,2
264,2020-12-17,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,50,,1,2
265,2020-07-19,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,4,99,,0,2
266,2020-02-05,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,2,112,,0,2
267,2020-11-22,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,5,97,,2,1
268,2020-05-15,bicep_curl pull_up lat_pulldown dumbbell_row push_press,5,52,,0,2
269,2020-09-23,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,1,65,,1,2
270,2020-03-07,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,65,,1,2
271,2020-05-16,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,5,45,,0,2
272,2020-12-25,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,96,,2,2
273,2020-12-20,pull_up lat_pulldown push_up dumbbell_row push_press,3,46,,0,1
274,2020-04-09,yoga,2,87,,0,0
275,2020-09-28,crunches plank russian_twist side_plank bird_dog burpee,5,88,,0,0
276,2020-04-22,pull_up lat_pulldown push_up dumbbell_row push_press,2,57,,1,2
277,2020-10-14,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,70,,1,1
